Sample Name	Protocol REF	Parameter Value[Processed Tissue Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library Kit]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File
Mmus_C57-6J_GST_GC_Rep1_M33	Nucleic Acid Extraction 2	33	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M33_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M33-GST-wgbs.tar.gz
Mmus_C57-6J_GST_GC_Rep2_M34	Nucleic Acid Extraction 2	29.8	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M34_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M34-GST-wgbs.tar.gz
Mmus_C57-6J_GST_GC_Rep3_M35	Nucleic Acid Extraction 2	27.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M35_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M35-GST-wgbs.tar.gz
Mmus_C57-6J_GST_GC_Rep4_M36	Nucleic Acid Extraction 2	27.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M36_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M36-GST-wgbs.tar.gz
Mmus_C57-6J_GST_GC_Rep5_M37	Nucleic Acid Extraction 2	32	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M37_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M37-GST-wgbs.tar.gz
Mmus_C57-6J_GST_GC_Rep6_M38	Nucleic Acid Extraction 2	19.8	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_GC_M38_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M38-GST-wgbs.tar.gz
Mmus_C57-6J_GST_FLT_Rep1_M23	Nucleic Acid Extraction 2	25	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_FLT_M23_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M23-GST-wgbs.tar.gz
Mmus_C57-6J_GST_FLT_Rep2_M24	Nucleic Acid Extraction 2	28.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_FLT_M24_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M24-GST-wgbs.tar.gz
Mmus_C57-6J_GST_FLT_Rep3_M25	Nucleic Acid Extraction 2	27.1	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_FLT_M25_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M25-GST-wgbs.tar.gz
Mmus_C57-6J_GST_FLT_Rep4_M26	Nucleic Acid Extraction 2	21.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	PrepEase Genomic DNA Isolation Kit	RR1_FLT_M26_GST_DNA	Library Construction 2	PCR	PAIRED	EpiGnome	Nucleic Acid Sequencing 2	Illumina HiSeq 4000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Whole Genome Bisulfite Sequencing	GLDS-101_wgbs_M26-GST-wgbs.tar.gz
