Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Parameter Value[pool strategy]	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Derived Spectral Data File	Peptide Assignment File	Comment[Processed Tissue Weight (mg)]	Comment[Run Number]
Mmus_C57-6J_GST_GC_Rep1_M33	Extraction	RR1_GC_M33_GST_PRT	Labeling	RR1_GC_M33_GST_PRT	128N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	28.1	RUN1
Mmus_C57-6J_GST_GC_Rep2_M34	Extraction	RR1_GC_M34_GST_PRT	Labeling	RR1_GC_M34_GST_PRT	128C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	28.4	RUN1
Mmus_C57-6J_GST_GC_Rep3_M35	Extraction	RR1_GC_M35_GST_PRT	Labeling	RR1_GC_M35_GST_PRT	129N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	30.5	RUN1
Mmus_C57-6J_GST_GC_Rep4_M36	Extraction	RR1_GC_M36_GST_PRT	Labeling	RR1_GC_M36_GST_PRT	128N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	33.5	RUN2
Mmus_C57-6J_GST_GC_Rep5_M37	Extraction	RR1_GC_M37_GST_PRT	Labeling	RR1_GC_M37_GST_PRT	128C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	33.1	RUN2
Mmus_C57-6J_GST_GC_Rep6_M38	Extraction	RR1_GC_M38_GST_PRT	Labeling	RR1_GC_M38_GST_PRT	129N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	30.5	RUN2
Mmus_C57-6J_GST_FLT_Rep1_M23	Extraction	RR1_FLT_M23_GST_PRT	Labeling	RR1_FLT_M23_GST_PRT	126			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	24.2	RUN1
Mmus_C57-6J_GST_FLT_Rep2_M24	Extraction	RR1_FLT_M24_GST_PRT	Labeling	RR1_FLT_M24_GST_PRT	127N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	30.7	RUN1
Mmus_C57-6J_GST_FLT_Rep3_M25	Extraction	RR1_FLT_M25_GST_PRT	Labeling	RR1_FLT_M25_GST_PRT	127C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	34.3	RUN1
Mmus_C57-6J_GST_FLT_Rep4_M26	Extraction	RR1_FLT_M26_GST_PRT	Labeling	RR1_FLT_M26_GST_PRT	126			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	28.1	RUN2
Mmus_C57-6J_GST_FLT_Rep5_M27	Extraction	RR1_FLT_M27_GST_PRT	Labeling	RR1_FLT_M27_GST_PRT	127N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	Reverse Phase Liquid Chromatography	Electrospray Ionization	Ion Trap and Orbitrap	TMT 10-plex	GLDS-101_proteomics_TMT_raw.tar.gz	Data Transformation	GLDS-101_proteomics_TMT_processed.tar.gz	Byonic	26.6	RUN2
