Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Diet]	Parameter Value[Feeding Schedule]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Chemical]	Term Source REF	Term Accession Number	Parameter Value[Carcass Storage Method]	Comment[Source Description]	Comment[LSDA Biospecimen ID]	Comment[LSDA Biospecimen Subject ID]
RR1_GC_M33	Mmus_C57-6J_GST_GC_Rep1_M33	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_GC_M34	Mmus_C57-6J_GST_GC_Rep2_M34	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_GC_M35	Mmus_C57-6J_GST_GC_Rep3_M35	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_GC_M36	Mmus_C57-6J_GST_GC_Rep4_M36	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_GC_M37	Mmus_C57-6J_GST_GC_Rep5_M37	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_GC_M38	Mmus_C57-6J_GST_GC_Rep6_M38	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Ground Control			Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5213	445
RR1_FLT_M23	Mmus_C57-6J_GST_FLT_Rep1_M23	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5211	426
RR1_FLT_M24	Mmus_C57-6J_GST_FLT_Rep2_M24	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5211	426
RR1_FLT_M25	Mmus_C57-6J_GST_FLT_Rep3_M25	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5211	426
RR1_FLT_M26	Mmus_C57-6J_GST_FLT_Rep4_M26	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Left gastrocnemius	FMA	http://purl.org/sig/ont/fma/fma22557	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	12 h light/dark cycle	Rodent Habitat	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	intact carcass	5211	426
